ActivityStartDate	ActivityDepthHeightMeasure.MeasureValue	ResultMeasureValue
1995-05-09T05:00:00Z	0	13.2
1995-05-09T05:00:00Z	1	13.1
1995-05-09T05:00:00Z	2	13.2
1995-05-09T05:00:00Z	3	13.2
1995-05-09T05:00:00Z	4	13.2
1995-05-09T05:00:00Z	5	13.1
1995-05-09T05:00:00Z	6	13.1
1995-05-09T05:00:00Z	7	13.1
1995-05-09T05:00:00Z	8	13.1
1995-05-09T05:00:00Z	9	13.1
1995-05-09T05:00:00Z	10	13.1
1995-05-09T05:00:00Z	11	13.1
1995-05-09T05:00:00Z	12	13.1
1995-05-09T05:00:00Z	13	13.1
1995-05-09T05:00:00Z	14	13
1995-05-09T05:00:00Z	15	13
1995-05-09T05:00:00Z	16	13.1
1995-05-09T05:00:00Z	17	13
1995-05-09T05:00:00Z	18	13
1995-05-09T05:00:00Z	20	13
1995-05-09T05:00:00Z	21	12.9
1995-05-09T05:00:00Z	22	13.1
1995-05-09T05:00:00Z	23	13
1995-05-23T05:00:00Z	0	9.2
1995-05-23T05:00:00Z	1	9.2
1995-05-23T05:00:00Z	2	9.3
1995-05-23T05:00:00Z	3	9.3
1995-05-23T05:00:00Z	4	9.5
1995-05-23T05:00:00Z	5	9.6
1995-05-23T05:00:00Z	6	9.6
1995-05-23T05:00:00Z	7	9.5
1995-05-23T05:00:00Z	8	9.4
1995-05-23T05:00:00Z	9	9.2
1995-05-23T05:00:00Z	10	9.1
1995-05-23T05:00:00Z	11	9.1
1995-05-23T05:00:00Z	12	9.1
1995-05-23T05:00:00Z	13	9
1995-05-23T05:00:00Z	14	8.9
1995-05-23T05:00:00Z	15	9.3
1995-05-23T05:00:00Z	16	9.3
1995-05-23T05:00:00Z	17	9.1
1995-05-23T05:00:00Z	18	9
1995-05-23T05:00:00Z	19	7.3
1995-05-23T05:00:00Z	20	8.3
1995-05-23T05:00:00Z	21.5	8.4
1995-05-23T05:00:00Z	22	8
1995-05-23T05:00:00Z	22.5	7.4
1995-06-06T05:00:00Z	0	10.1
1995-06-06T05:00:00Z	1	10.1
1995-06-06T05:00:00Z	2	10.3
1995-06-06T05:00:00Z	3	10.3
1995-06-06T05:00:00Z	4	10.2
1995-06-06T05:00:00Z	5	9.4
1995-06-06T05:00:00Z	6	9.2
1995-06-06T05:00:00Z	7	9.5
1995-06-06T05:00:00Z	8	9.1
1995-06-06T05:00:00Z	9	8.9
1995-06-06T05:00:00Z	10	9
1995-06-06T05:00:00Z	11	8.5
1995-06-06T05:00:00Z	12	7.7
1995-06-06T05:00:00Z	13	6.8
1995-06-06T05:00:00Z	14	5.9
1995-06-06T05:00:00Z	15	5.8
1995-06-06T05:00:00Z	16	4.9
1995-06-06T05:00:00Z	17	4.7
1995-06-06T05:00:00Z	18	3.5
1995-06-06T05:00:00Z	19	3.2
1995-06-06T05:00:00Z	20	2
1995-06-06T05:00:00Z	21	0.9
1995-06-06T05:00:00Z	22	0.6
1995-06-06T05:00:00Z	23	0.5
1995-06-06T05:00:00Z	24	0.3
1995-06-21T05:00:00Z	0	12.8
1995-06-21T05:00:00Z	1	15.6
1995-06-21T05:00:00Z	2	18.2
1995-06-21T05:00:00Z	3	15.1
1995-06-21T05:00:00Z	4	13
1995-06-21T05:00:00Z	5	9.7
1995-06-21T05:00:00Z	6	8.1
1995-06-21T05:00:00Z	7	7
1995-06-21T05:00:00Z	8	6.3
1995-06-21T05:00:00Z	9	6.2
1995-06-21T05:00:00Z	10	5.5
1995-06-21T05:00:00Z	11	5.1
1995-06-21T05:00:00Z	12	4.7
1995-06-21T05:00:00Z	13	3.8
1995-06-21T05:00:00Z	14	3.3
1995-06-21T05:00:00Z	15	1.6
1995-07-06T05:00:00Z	0	8.1
1995-07-06T05:00:00Z	1	8
1995-07-06T05:00:00Z	2	8.1
1995-07-06T05:00:00Z	3	8
1995-07-06T05:00:00Z	4	8.1
1995-07-06T05:00:00Z	5	8.1
1995-07-06T05:00:00Z	6	8.1
1995-07-06T05:00:00Z	7	8.1
1995-07-06T05:00:00Z	8	8.1
1995-07-06T05:00:00Z	9	8
1995-07-06T05:00:00Z	10	8.1
1995-07-06T05:00:00Z	11	7.9
1995-07-06T05:00:00Z	12	2.2
1995-07-06T05:00:00Z	13	1.8
1995-07-06T05:00:00Z	14	0.6
1995-07-06T05:00:00Z	15	0.3
1995-07-06T05:00:00Z	16	0.2
1995-07-06T05:00:00Z	17	0.3
1995-07-06T05:00:00Z	18	0.1
1995-07-06T05:00:00Z	19	0.1
1995-07-06T05:00:00Z	20	0.1
1995-07-06T05:00:00Z	21	0.1
1995-07-06T05:00:00Z	22	0.1
1995-07-06T05:00:00Z	23	0.1
1995-07-06T05:00:00Z	24	0.1
1995-07-06T05:00:00Z	25	0.1
1995-07-18T05:00:00Z	0	8.1
1995-07-18T05:00:00Z	1	8.1
1995-07-18T05:00:00Z	2	8.1
1995-07-18T05:00:00Z	3	8.1
1995-07-18T05:00:00Z	4	8.1
1995-07-18T05:00:00Z	5	8.1
1995-07-18T05:00:00Z	6	8.1
1995-07-18T05:00:00Z	7	8
1995-07-18T05:00:00Z	8	8
1995-07-18T05:00:00Z	9	2.3
1995-07-18T05:00:00Z	10	1
1995-07-18T05:00:00Z	11	0.5
1995-07-18T05:00:00Z	12	0.5
1995-07-18T05:00:00Z	13	0.4
1995-07-18T05:00:00Z	14	0.4
1995-07-18T05:00:00Z	15	0.4
1995-07-18T05:00:00Z	16	0.4
1995-07-18T05:00:00Z	17	0.4
1995-07-18T05:00:00Z	18	0.4
1995-07-18T05:00:00Z	19	0.4
1995-07-18T05:00:00Z	20	0.4
1995-07-18T05:00:00Z	21	0.4
1995-07-18T05:00:00Z	22	0.4
1995-07-18T05:00:00Z	23	0.4
1995-07-18T05:00:00Z	24	0.4
1995-08-02T05:00:00Z	0	7.2
1995-08-02T05:00:00Z	1	7.1
1995-08-02T05:00:00Z	2	7.1
1995-08-02T05:00:00Z	3	7.1
1995-08-02T05:00:00Z	4	7.1
1995-08-02T05:00:00Z	5	7.1
1995-08-02T05:00:00Z	6	7
1995-08-02T05:00:00Z	7	1.5
1995-08-02T05:00:00Z	8	0.6
1995-08-02T05:00:00Z	9	0.2
1995-08-02T05:00:00Z	9.5	0.2
1995-08-02T05:00:00Z	10	0.2
1995-08-02T05:00:00Z	10.5	0.2
1995-08-02T05:00:00Z	11	0.2
